Run,Run2,CS,F,D,MRR,Ra,Ry,Rz,Rq,Rt,Rsm,PC1,PC2,PC3,PC4
3,3,200,0.2,0.1,4,0.4500,2.4858,1.8708,0.5442,3.2617,161.0000,-4.9975,1.4866,-2.5373,-0.090533
4,5,200,0.1,0.2,4,0.1900,1.2733,0.9417,0.2308,1.6608,68.5000,-5.4087,2.6946,-1.6609,5.2672
5,6,240,0.1,0.2,4.8,0.1758,1.3208,0.9383,0.2233,1.9875,73.0000,-5.4684,-0.53099,3.4004,-0.91167
6,8,240,0.2,0.2,9.6,0.5200,2.8275,2.2200,0.6292,3.3242,197.9167,14.767,8.1114,1.7902,-0.009263
7,9,186.3641434,0.15,0.15,4.193193226,0.2517,1.8408,1.1842,0.3167,2.8258,92.1667,0.55819,-3.2904,-1.3435,2.9094
8,12,220,0.234089642,0.15,7.72495817,0.4975,2.5933,2.0108,0.5850,3.0042,207.5833,8.5085,-3.9836,0.41085,-0.901
9,14,220,0.15,0.234089642,7.72495817,0.2542,1.8225,1.2950,0.3183,2.6675,70.9167,6.1101,-2.3308,1.99,-1.0505
10,15,220,0.15,0.15,4.95,0.1800,1.5258,1.0517,0.2350,2.4250,67.5833,-3.8012,-0.72181,1.2571,0.07466
1,1,200,0.1,0.1,2,0.1300,0.9800,0.7333,0.1667,1.2992,78.1667,-12.411,2.6312,-0.83213,0.076559
2,2,240,0.1,0.1,2.4,0.1725,1.2067,0.8750,0.2142,1.5250,88.5000,-12.216,-0.22957,2.8678,-1.0446
3,3,200,0.2,0.1,4,0.4500,2.4667,1.8750,0.5425,3.2125,166.0000,-5.3887,1.7739,-2.4699,0.19172
4,5,200,0.1,0.2,4,0.1900,1.2817,0.9342,0.2317,1.6775,69.2500,-5.9233,2.668,-0.65669,4.8191
5,6,240,0.1,0.2,4.8,0.1758,1.3217,0.9283,0.2225,2.0100,73.6667,-7.2494,0.58802,2.9019,-0.48179
6,8,240,0.2,0.2,9.6,0.5200,2.8367,2.2275,0.6267,3.3308,198.9167,19.926,9.4292,1.5591,0.26052
7,9,186.3641434,0.15,0.15,4.193193226,0.2575,1.8975,1.2192,0.3283,2.8758,85.9167,1.2443,-3.9361,-1.7823,2.2359
8,12,220,0.234089642,0.15,7.72495817,0.4942,2.5817,2.0183,0.5825,2.9950,212.3333,9.4028,-4.4622,0.71626,-1.1599
9,14,220,0.15,0.234089642,7.72495817,0.2508,1.8250,1.2958,0.3158,2.6258,70.6667,7.4122,-2.5961,2.1419,-0.054081
10,15,220,0.15,0.15,4.95,0.1700,1.4567,1.0208,0.2300,2.2958,62.5000,-4.4692,-2.1176,0.999,0.14742
1,1,200,0.1,0.1,2,0.1600,1.1075,0.8233,0.1967,1.4900,71.7500,-12.626,2.0989,-0.70914,0.66589
2,2,240,0.1,0.1,2.4,0.1608,1.2333,0.8900,0.2017,1.6467,78.6667,-11.54,-0.09656,3.3417,-1.2993
3,3,200,0.2,0.1,4,0.4500,2.4192,1.7925,0.5333,2.9525,111.8333,-5.4647,1.9192,-2.4813,0.74321
4,5,200,0.1,0.2,4,0.1900,1.4650,1.1508,0.2350,1.8117,46.2500,-6.2954,2.7131,0.080456,3.7131
5,6,240,0.1,0.2,4.8,0.2225,1.6392,1.1225,0.2883,2.2475,81.6667,-6.9253,0.8351,3.4207,0.10625
6,8,240,0.2,0.2,9.6,0.5200,2.9242,2.2442,0.6258,3.4850,193.3333,18.342,9.509,1.8747,1.0164
7,9,186.3641434,0.15,0.15,4.193193226,0.2175,1.5125,1.0492,0.2708,2.1717,76.0833,-0.05115,-3.6087,-1.4365,2.0249
8,12,220,0.234089642,0.15,7.72495817,0.4942,2.5150,1.9183,0.5800,3.0125,196.5833,8.4932,-3.9956,0.42421,-0.66969
9,14,220,0.15,0.234089642,7.72495817,0.2842,2.1433,1.4208,0.3592,2.8967,71.3333,5.7394,-2.0551,3.2147,-0.27861
